scenario,method,A1,A3,A5,A7,fft_val_samples,reg_best_epoch,bp_best_epoch
v2g,single_cycle_fft,0.09504668676528497,0.07548305122750333,0.07305312205608257,0.09332198589807798,90,19,82
v2g,pre_finetune,0.24283656477928162,0.013900098390877247,0.01852296106517315,0.016711905598640442,90,19,82
v2g,bp_finetuned,0.032494183629751205,0.008918200619518757,0.005217653699219227,0.008711318485438824,90,19,82
v2g,closed_form_finetuned,0.03239581733942032,0.009019698016345501,0.006716908421367407,0.009344137273728848,90,19,82
g2v,single_cycle_fft,0.0844758292713913,0.08621407967895324,0.08386343823527978,0.107034092900122,50,47,65
g2v,pre_finetune,0.5753633379936218,0.024057794362306595,0.014086246490478516,0.01817331835627556,50,47,65
g2v,bp_finetuned,0.028819503262639046,0.005767249967902899,0.009238561615347862,0.016543757170438766,50,47,65
g2v,closed_form_finetuned,0.03628261387348175,0.00852828100323677,0.005087832920253277,0.014204299077391624,50,47,65
g2b,single_cycle_fft,0.010093703927483348,0.005705875848654298,0.004695354925335736,0.009268766403644556,50,59,120
g2b,pre_finetune,0.06016826629638672,0.001781271304935217,0.0020947102457284927,0.007009273860603571,50,59,120
g2b,bp_finetuned,0.002723436336964369,0.001428430201485753,0.000911420676857233,0.0011932846391573548,50,59,120
g2b,closed_form_finetuned,0.00262871733866632,0.001331415493041277,0.0010691044153645635,0.001177339581772685,50,59,120
b2g,single_cycle_fft,0.007815956493316165,0.005256932855121599,0.009184376970477389,0.012277281133936337,90,63,117
b2g,pre_finetune,0.050447624176740646,0.0011413631727918983,0.006076023913919926,0.008239896968007088,90,63,117
b2g,bp_finetuned,0.003193587763234973,0.0015195232117548585,0.0009446591138839722,0.0013898503966629505,90,63,117
b2g,closed_form_finetuned,0.002311711898073554,0.0014308781828731298,0.0010042710928246379,0.0010425926884636283,90,63,117
caseA1,single_cycle_fft,0.5008891715190839,0.599751991795851,0.6096353071459073,0.5303166981508298,75,30,0
caseA1,pre_finetune,0.5966485738754272,0.14874453842639923,0.2604787349700928,0.2952408790588379,75,30,0
caseA1,bp_finetuned,0.5966485738754272,0.14874453842639923,0.2604787349700928,0.2952408790588379,75,30,0
caseA1,closed_form_finetuned,0.5676610469818115,0.146063432097435,0.10590698570013046,0.0801837295293808,75,30,0
